codigo_cnes,nome_fantasia,nome_razao_social,codigo_tipo_unidade,bairro_estabelecimento,endereco_estabelecimento,numero_telefone_estabelecimento,descricao_turno_atendimento,descricao_esfera_administrativa,estabelecimento_faz_atendimento_ambulatorial_sus,estabelecimento_possui_atendimento_hospitalar,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,descricao_tipo_unidade,distrito
4331362,USB BRUMADINHO,CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO OESTE PARA GEREN,42,SANTA CRUZ,ROD MG 040,3736903200,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",ESTADUAL,NAO,,-20.143,-44.2,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,Brumadinho
4355911,UNIDADE DE SAUDE DA FAMILIA PARQUE DA CACHOEIRA,MUNICIPIO DE BRUMADINHO,2,PARQUE DA CACHOEIRA,RUA FRANCISCO JOSE DINIZ,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.143,-44.21,CENTRO DE SAUDE/UNIDADE BASICA,Brumadinho
4428323,MAXI VACINA LTDA,MAXI VACINA LTDA,85,JOTA,RIO PARAOPEBA,31 33791924,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14514850929453,-44.19992923736572,CENTRO DE IMUNIZACAO,Brumadinho
4471466,UNIDADE DE SAUDE MINA JANGADA,VALE S A,36,ALBERTO FLORES,FAZENDA CORREGO DO FEIJAO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1368019,-44.1099623,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
4471474,POSTURE FISIOTERAPIA PILATES,CLINICA FISIOTERAPEUTICA POSTURE LTDA,36,CARMO,RUA ALFREDO AMORIM,31991515998,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1459516,-44.2053627,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
4492153,IMUNIZACAO BRUMADINHO,MUNICIPIO DE BRUMADINHO,2,JOTA,AVENIDA NOSSA SENHORA DO BELO RAMO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14523916158617,-44.19767618179321,CENTRO DE SAUDE/UNIDADE BASICA,Brumadinho
4639154,ESPACO CUIDAR SR SARAH E RODRIGO,ESPACO CUIDAR SR LTDA,36,JOTA,RUA RIO PARAOPEBA,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1451704,-44.2025237,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
4682564,MEDCON SERVICOS MEDICOS LTDA,MEDCON SERVICOS MEDICOS LTDA,40,CENTRO,RUA PRESIDENTE VARGAS,31992285918,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1517312,-44.201008,UNIDADE MOVEL TERRESTRE,Brumadinho
4779967,LIGHT2LIFE,LUZ PARA A VIDA,40,SILVA PRDO,RUA REYNALDO PINTO VIEIRA,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.148789,-44.2025899,UNIDADE MOVEL TERRESTRE,Brumadinho
4808738,CES,CENTRO ESPECIALIZADO EM SAUDE LTDA,36,SAO SEBASTIAO,RUA BELO HORIZONTE,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1463367,-44.2058895,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
4936299,CECO ALEGRIA DE CONVIVER,MUNICIPIO DE BRUMADINHO,83,SAO CONRADO,RUA CARLOS NOGUEIRA,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,,-20.137926374343678,-44.20567989349365,POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE,Brumadinho
4979117,CLINICA REESTRUTURAR,REESTRUTURAR CLINICA E SERVICOS LTDA,36,CORREGO FERREIRA,AVENIDA NAIR MARTINS DRUMOND,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1899697,-44.0013479,CLINICA/CENTRO DE ESPECIALIDADE,Piedade do Paraopeba
