aba_origem,variavel,variavel_num,tipo,tema,descricao
Dicionário não PCT,V00054,54,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Tipo de espécie é dentro de estabelecimento em funcionamento"
Dicionário não PCT,V00055,55,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Tipo de espécie é abrigo natural e outras estruturas improvisadas"
Dicionário não PCT,V00056,56,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Tipo de espécie é estrutura improvisada em logradouro público, exceto tenda ou barraca"
Dicionário não PCT,V00057,57,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Tipo de espécie é estrutura não residencial permanente degradada ou inacabada"
Dicionário não PCT,V00058,58,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Tipo de espécie é veículo (carro, caminhão, trailer, barco etc)"
Dicionário não PCT,V00059,59,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é asilo ou outra instituição de longa permanência para idosos"
Dicionário não PCT,V00060,60,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é hotel ou pensão"
Dicionário não PCT,V00061,61,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é alojamento"
Dicionário não PCT,V00062,62,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é penitenciária, centro de detenção e similar"
Dicionário não PCT,V00063,63,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é outros domicílios coletivos com morador"
Dicionário não PCT,V00064,64,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é abrigo, albergue ou casa de passagem para população em situação de rua"
Dicionário não PCT,V00065,65,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é abrigo, casas de passagem ou república assistencial para outros grupos vulneráveis"
Dicionário não PCT,V00066,66,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é clínica psiquiátrica, comunidade terapêutica e similar"
Dicionário não PCT,V00067,67,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é orfanato e similar"
Dicionário não PCT,V00068,68,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é unidade de internação de menores"
Dicionário não PCT,V00069,69,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Tipo de espécie é quartel ou outra organização militar"
Dicionário não PCT,V00070,70,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Quantidade de moradores"
Dicionário não PCT,V00071,71,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Quantidade de crianças de zero a nove anos de idade"
Dicionário não PCT,V00072,72,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Pessoas de sexo masculino no domicílio"
Dicionário não PCT,V00073,73,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Pessoas de sexo feminino no domicílio"
Dicionário não PCT,V00074,74,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 1 morador no domicílio"
Dicionário não PCT,V00075,75,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 2 moradores no domicílio"
Dicionário não PCT,V00076,76,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 3 moradores no domicílio"
Dicionário não PCT,V00077,77,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 4 moradores no domicílio"
Dicionário não PCT,V00078,78,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 5 moradores no domicílio"
Dicionário não PCT,V00079,79,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 6 moradores no domicílio"
Dicionário não PCT,V00080,80,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 7 moradores no domicílio"
Dicionário não PCT,V00081,81,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 8 moradores no domicílio"
Dicionário não PCT,V00082,82,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 9 moradores no domicílio"
Dicionário não PCT,V00083,83,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 10 ou mais moradores no domicílio"
Dicionário não PCT,V00084,84,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Quantidade de moradores"
Dicionário não PCT,V00085,85,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Quantidade de moradores"
Dicionário não PCT,V00086,86,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Quantidade de moradores"
Dicionário não PCT,V00087,87,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Quantidade de crianças de zero a nove anos de idade"
Dicionário não PCT,V00088,88,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Quantidade de crianças de zero a nove anos de idade"
Dicionário não PCT,V00089,89,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Quantidade de crianças de zero a nove anos de idade"
Dicionário não PCT,V00090,90,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é branca"
Dicionário não PCT,V00091,91,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é preta"
Dicionário não PCT,V00092,92,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é amarela"
Dicionário não PCT,V00093,93,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é parda"
Dicionário não PCT,V00094,94,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é indígena"
Dicionário não PCT,V00095,95,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é branca"
Dicionário não PCT,V00096,96,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é preta"
Dicionário não PCT,V00097,97,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é amarela"
Dicionário não PCT,V00098,98,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é parda"
Dicionário não PCT,V00099,99,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é indígena"
Dicionário não PCT,V00100,100,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é branca"
Dicionário não PCT,V00101,101,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é preta"
Dicionário não PCT,V00102,102,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é amarela"
Dicionário não PCT,V00103,103,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é parda"
Dicionário não PCT,V00104,104,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é indígena"
Dicionário não PCT,V00105,105,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Sexo da pessoa responsável pelo domicílio é masculino"
Dicionário não PCT,V00106,106,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Sexo da pessoa responsável pelo domicílio é feminino"
Dicionário não PCT,V00107,107,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Sexo da pessoa responsável pelo domicílio é masculino"
Dicionário não PCT,V00108,108,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Sexo da pessoa responsável pelo domicílio é feminino"
Dicionário não PCT,V00109,109,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Sexo da pessoa responsável pelo domicílio é masculino"
Dicionário não PCT,V00110,110,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Sexo da pessoa responsável pelo domicílio é feminino"
Dicionário não PCT,V00111,111,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição"
Dicionário não PCT,V00112,112,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano"
Dicionário não PCT,V00113,113,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba"
Dicionário não PCT,V00114,114,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina"
Dicionário não PCT,V00115,115,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa"
Dicionário não PCT,V00116,116,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada"
Dicionário não PCT,V00117,117,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés"
Dicionário não PCT,V00118,118,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água"
Dicionário não PCT,V00119,119,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza rede geral de distribuição"
Dicionário não PCT,V00120,120,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza poço profundo ou artesiano"
Dicionário não PCT,V00121,121,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza poço raso, freático ou cacimba"
Dicionário não PCT,V00122,122,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza fonte, nascente ou mina"
Dicionário não PCT,V00123,123,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza carro-pipa"
Dicionário não PCT,V00124,124,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza água da chuva armazenada"
Dicionário não PCT,V00125,125,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza rios, açudes, córregos, lagos e igarapés"
Dicionário não PCT,V00126,126,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza outra forma de abastecimento de água"
Dicionário não PCT,V00127,127,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza rede geral de distribuição"
Dicionário não PCT,V00128,128,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza poço profundo ou artesiano"
Dicionário não PCT,V00129,129,Domicílio,Características do Domicílio - Parte 2,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza poço raso, freático ou cacimba"
