Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito)
310900,Município,2024,Número de Empregos,BrAm - Total,87115,12,871,87,Q
310900,Município,2024,Número de Empregos,BrAm - Total,87204,1,872,87,Q
310900,Município,2024,Número de Empregos,BrAm - Total,91023,182,910,91,R
310900,Município,2024,Número de Empregos,BrAm - Total,93123,1,931,93,R
310900,Município,2024,Número de Empregos,BrAm - Total,93131,3,931,93,R
310900,Município,2024,Número de Empregos,BrAm - Total,94111,1,941,94,S
310900,Município,2024,Número de Empregos,BrAm - Total,94201,1,942,94,S
310900,Município,2024,Número de Empregos,BrAm - Total,94308,44,943,94,S
310900,Município,2024,Número de Empregos,BrAm - Total,94910,3,949,94,S
310900,Município,2024,Número de Empregos,BrAm - Total,94995,23,949,94,S
310900,Município,2024,Número de Empregos,BrAm - Total,96017,1,960,96,S
310900,Município,2024,Número de Empregos,BrAm - Total,96025,3,960,96,S
310900,Município,2024,Número de Empregos,BrAm - Total,96092,1,960,96,S
310900,Município,2024,Número de Empregos,Homem - BrAm,01113,1,011,01,A
310900,Município,2024,Número de Empregos,Homem - BrAm,01211,2,012,01,A
310900,Município,2024,Número de Empregos,Homem - BrAm,01512,26,015,01,A
310900,Município,2024,Número de Empregos,Homem - BrAm,01521,10,015,01,A
310900,Município,2024,Número de Empregos,Homem - BrAm,01547,4,015,01,A
310900,Município,2024,Número de Empregos,Homem - BrAm,01555,3,015,01,A
310900,Município,2024,Número de Empregos,Homem - BrAm,01610,12,016,01,A
310900,Município,2024,Número de Empregos,Homem - BrAm,01628,4,016,01,A
310900,Município,2024,Número de Empregos,Homem - BrAm,02306,7,023,02,A
310900,Município,2024,Número de Empregos,Homem - BrAm,07103,764,071,07,B
310900,Município,2024,Número de Empregos,Homem - BrAm,08100,9,081,08,B
310900,Município,2024,Número de Empregos,Homem - BrAm,09904,52,099,09,B
310900,Município,2024,Número de Empregos,Homem - BrAm,10121,27,101,10,C
310900,Município,2024,Número de Empregos,Homem - BrAm,10538,2,105,10,C
310900,Município,2024,Número de Empregos,Homem - BrAm,10911,4,109,10,C
310900,Município,2024,Número de Empregos,Homem - BrAm,10945,1,109,10,C
310900,Município,2024,Número de Empregos,Homem - BrAm,10953,1,109,10,C
310900,Município,2024,Número de Empregos,Homem - BrAm,11135,1,111,11,C
310900,Município,2024,Número de Empregos,Homem - BrAm,11216,15,112,11,C
310900,Município,2024,Número de Empregos,Homem - BrAm,14134,4,141,14,C
310900,Município,2024,Número de Empregos,Homem - BrAm,16226,3,162,16,C
310900,Município,2024,Número de Empregos,Homem - BrAm,18300,1,183,18,C
310900,Município,2024,Número de Empregos,Homem - BrAm,23303,6,233,23,C
310900,Município,2024,Número de Empregos,Homem - BrAm,23915,4,239,23,C
310900,Município,2024,Número de Empregos,Homem - BrAm,24512,6,245,24,C
310900,Município,2024,Número de Empregos,Homem - BrAm,25128,2,251,25,C
310900,Município,2024,Número de Empregos,Homem - BrAm,38114,2,381,38,E
