Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito),Desvio Padrão
310900,Município,2024,Média do Salário Real,BrAm - Total,85139,2561.847674418604,851,85,P,1913.5005105251937
310900,Município,2024,Média do Salário Real,BrAm - Total,85201,1256.338888888889,852,85,P,553.9049922469657
310900,Município,2024,Média do Salário Real,BrAm - Total,85333,2989.823529411764,853,85,P,3151.1654276580425
310900,Município,2024,Média do Salário Real,BrAm - Total,85937,1015.07,859,85,P,787.9587991132532
310900,Município,2024,Média do Salário Real,BrAm - Total,85996,1982.3642857142856,859,85,P,627.6305855384174
310900,Município,2024,Média do Salário Real,BrAm - Total,86101,3904.2448648648656,861,86,Q,1595.8620859700836
310900,Município,2024,Média do Salário Real,BrAm - Total,86305,1887.8604761904764,863,86,Q,562.7410890407434
310900,Município,2024,Média do Salário Real,BrAm - Total,86402,2171.81,864,86,Q,806.7498058568096
310900,Município,2024,Média do Salário Real,BrAm - Total,86500,2319.0533333333333,865,86,Q,1510.5681345882197
310900,Município,2024,Média do Salário Real,BrAm - Total,86909,3166,869,86,Q,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,87115,3032.8790909090912,871,87,Q,1686.0196221423673
310900,Município,2024,Média do Salário Real,BrAm - Total,87204,1755.91,872,87,Q,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,91023,4905.768522727272,910,91,R,5728.459477853169
310900,Município,2024,Média do Salário Real,BrAm - Total,93131,2333.516666666667,931,93,R,629.7078932595123
310900,Município,2024,Média do Salário Real,BrAm - Total,94111,2440.64,941,94,S,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,94201,5395.66,942,94,S,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,94308,3030.0709302325577,943,94,S,1626.2298850918282
310900,Município,2024,Média do Salário Real,BrAm - Total,94910,2824,949,94,S,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,94995,3389.3161904761905,949,94,S,1303.0050321371602
310900,Município,2024,Média do Salário Real,BrAm - Total,96025,1258.7033333333331,960,96,S,494.2198539449152
310900,Município,2024,Média do Salário Real,BrAm - Total,96092,1412,960,96,S,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,01211,1412,012,01,A,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,01512,2167.5156521739127,015,01,A,767.3499626330638
310900,Município,2024,Média do Salário Real,Homem - BrAm,01521,1840.908888888889,015,01,A,591.1684722531396
